EnzymePW	ApprovedEnzymeName	E.C.number	Uniprot	Ensembl	RheaID	CHEBIID	Km	Kcat	Kcat/Km	pH	Temperature	AdditionalConditions	Organism	PMID	Database
Aminocyclase 2	-	3.5.1.15	P45381 	-	14167	16953	163	37,5	-	7,4	37	-	Homo sapiens	18280251	Brenda
Aminocyclase 2	-	3.5.1.15	P45381 	-	14167	16953	1.69	-	-	8	-	ASPA isolated from cytosol	Mus musculus	17254025	Brenda
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47421	15524	3	-	-	7,5	37	-	Homo sapiens	16229482	Brenda
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47422	15524	0.0047	5,6	-	6,5		-	Homo sapiens	17176108	Brenda 
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47423	15524	0.0064	6,7	-	7,6	25	recombinant wild-type enzyme, electron acceptor is electron transfer flavoprotein 	human	12948740	Brenda
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47424	15524	0.0074	4,8	-	7,6	25	mutant A421T; electron acceptor is electron transfer flavoprotein 	Homo sapiens	12948740	Brenda
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47425	15524	0.0081	9,4	-	7,6	-	-	Human	17176108	Brenda
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47426	15524	0.0123	4,6	-	7,6	25	mutant A421V; electron acceptor is electron transfer flavoprotein 	Homo sapiens	12948740	Brenda
Glutaryl-CoA dehydrogenase First Reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47427	15524	0.0261	4,9	-	7,6	25	mutant A433V; electron acceptor is electron transfer flavoprotein 	Homo sapiens	12948740	Brenda
Glutaryl-CoA dehydrogenase Second reaction	-	1.3.8.6	Q92947	ENSG00000105607	RHEA:47428	24311	4	-	-	7,5	37	-	Homo sapiens	11705404	Brenda
