EnzymePW	ApprovedEnzymeName	ECnumber	UniProt	Ensembl	RheaID	CHEBIID	Km (mM)	Kcat (s-1)	Kcat/Km (M-1s-1)	pH	Temperature (Celcius)	AdditionalConditions	Organism	PMID 	Database
SRD5A3	-	1.3.1.B13	Q9H8P0	-	RHEA:34281	67132	-	-	-	8	37	-	Homo sapiens	20637498	Brenda
DOLK	-	2.7.1.108	Q9UPQ8	-	RHEA:13134	16091	-	-	-	-	-	-	Homo sapiens	-	Brenda
DOLK	-	2.7.1.108	Q9UPQ8	-	RHEA:13134	16091	23	-	-	7.4	37	-	Brown Rat	2838091	Brenda
DOLK	-	2.7.1.108	Q9UPQ8	-	RHEA:13134	16091	75	-	-	7.4	37	-	Rat	2999115	Brenda
DPAGT1	-	2.7.8.15	Q9H3H5	-	RHEA:13290	4691	-	-	-	-	-	-	-	-	Brenda
ALG13	-	2.4.1.141	Q9NP73	-	RHEA:23381	58427	-	-	-	7.5	37	-	Gallus gallus	9530952	Brenda
ALG13	-	2.4.1.141	Q9NP73	-	RHEA:23381	58427	-	-	-	7	-	-	Sus scrofa	11377171	Brenda
ALG1	-	2.4.1.142 	Q9BT22	-	RHEA:13866 	57269	-	-	-	-	-	-	Homo sapiens	-	Brenda
ALG1	-	2.4.1.142 	Q9BT22	-	RHEA:13866 	57269	-	-	-	7	37	-	Sus scrofa	3021065	Brenda
ALG2	-	2.4.1.132	Q9H553	-	RHEA:29516	58472	-	-	-	6.8	37	pH range was between 6,8 to 7,3	Oryctolagus cuniculus	7309740	Brenda
ALG2	-	2.4.1.132	Q9H553	-	RHEA:29516	58472	-	-	-	7.3	37	pH range was between 6,8 to 7,3	Oryctolagus cuniculus	7309740	Brenda
ALG11		2.4.1.131	Q2TAA5		RHEA:29523	132511	0,00064	-	-	7	37		Oryctolagus cuniculus	6154707	Brenda
ALG11	-	2.4.1.131	Q2TAA5	-	RHEA:29523	132511	-	-	-	6.5	-	pH range was between 6,5 to 7,6	Bos taurus	6698009	Brenda
ALG11	-	2.4.1.131	Q2TAA5	-	RHEA:29523	132511	-	-	-	7.6	-	pH range was between 6,5 to 7,6	Bos taurus	6698009	Brenda
