EnzymePW	ApprovedEnzymeName	ECnumber	Uniprot	Ensembl	RheaID	CHEBIID	Km	Kcat	Kcat/Km	pH	Temperature	AdditionalConditions	Species	PMID	Database
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35740	16113	"0,0005"	-	-	"7,4"		-	Bos taurus	285426	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35741	16113	"0,002"	-	-	-	-	-	Bos taurus	285420	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35742	16113	"0,0091"	-	"0,212"	-	-	-	Bos taurus	703418	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35743	16113	"0,0165"	-	-	-	-	-	Bos taurus	285426	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35744	16113	"0,164"	-	-	-	-	-	Bos taurus	285432	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35745	16113	"0,19"	-	-	-	-	-	Bos taurus	285418	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35746	16113	"0,3"	-	-	-	-	-	Bos taurus	285420	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35747	16113	"0,39"	-	-	-	-	-	Bos taurus	285413	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35748	16113	"1,18"	-	"11,17"	-	-	-	Bos taurus	704039	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35749	16113	-	"0,05"	-	-	-	-	Bos taurus	3968069	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35750	16113	-	"0,1"	-	-	-	-	Bos taurus	18573681	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35751	16113	-	"0,248"	-	-	-	-	Bos taurus	18573681	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35752	16113	-	-	"0,212"	-	-	-	Bos taurus	18573681	Brenda
P450scc	cholesterol monooxygenase (side-chain-cleaving)	1.14.15.6	-	ENSG00000140459	RHEA:35753	16113	-	-	"11,17"	-	-	-	Bos taurus	18573681	Brenda
STAR	Steroidogenic acute regulatory protein	2.7.11.12	-	ENSG00000147465	ATP + steroidogenic acute regulatory protein = ADP + phosphorylated steroidogenic acute regulatory protein	-	-	-	-	-	-	-	-	-	Unknown
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24077	16581	"0,00007"	-	-	-	-	-	Homo sapiens	6957697	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24078	16581	"0,0028"	-	-	"7,4"	27C	-	Homo sapiens	12205101	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24079	16581	"0,05"	-	-	"7,4"	27C	-	Homo sapiens	12205101	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24080	28750	"0,0035"	-	-	-	-	-	Homo sapiens	12205101	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24081	28750	"0,018"	-	-	-	-	-	Homo sapiens	12205101	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24082	28689	"0,0007"	-	-	"7,4"	-	-	Homo sapiens	17624763	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24083	28689	"0,0018"	-	-	"7,4"	37C	-	Homo sapiens	15084349	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24084	28689	"0,0037"	-	"0,0073"	"7,4"	27C	-	Homo sapiens	15291757	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24085	28689	"0,0037"	-	"14,83"	"7,4"	27C	-	Homo sapiens	15291757	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24086	28689	"0,0061"	-	-	"7,4"	27C	-	Homo sapiens	15797861	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24087	28689	"0,0156"	-	"0,015"	-	-	-	Homo sapiens	20736065	Brenda
3-beta-HSD	3-beta-hydroxysteroid dehydrogenase	1.1.1.145	-	ENSG00000203859	RHEA:24088	28689	"0,047"	-	-	-	-	-	Homo sapiens	12530651	Brenda
Corticosterone Methyl Oxidase I	corticosterone 18-monooxygenase	1.14.15.5	-	ENSG00000179142	RHEA:11873	16827	-	-	-	"7,4"	27C	-	-	-	Unknown
Corticosterone Methyl Oxidase II	corticosterone 18-monooxygenase	1.14.15.5	-	ENSG00000179142	RHEA:11874	16485	-	-	-	"7,4"	27C	-	-	-	Unknown
POR	P450 oxidoreductase	1.6.2.4	P16435	-	-	16485	-	-	-	-	-	-	-	-	Unknown
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50237	16581	"0,00025"	-	-	-	-	-	Homo sapiens	9726253	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50238	16581	"0,00038"	-	-	"7,4"	37C	-	Homo sapiens	25301938	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50239	16581	"0,0005"	-	"7,4"	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50240	16581	"0,00055"	-	-	-	-	-	Homo sapiens	19454579	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50241	16581	"0,00093"	-	-	"7,4"	37C	-	Homo sapiens	25301938	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50242	16581	"0,0011"	-	100	"7,4"	37C	-	Homo sapiens	28684414	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50243	16581	"0,0025"	-	-	-	-	-	Homo sapiens	4854454	Brenda
P450c17	steroid 17alpha-monooxygenase	1.14.14.19	-	ENSG00000148795	RHEA:50244	16581	"0,0077"	-	-	-	-	-	Homo sapiens	8396144	Brenda
