EnzymePW	ApprovedEnzymeName	E.C.number	Uniprot	Ensembl	RheaID	CHEBIID	SusbtrateName	Km (mM)	Kcat (s-1)	Kcat/Km (M-1s-1)	pH	Temperature (Celcius)	AdditionalConditions	Organism	PMID	Database
Aldo-keto reductase family 1 	Aldo-keto reductase family 1 member A1	EC:1.1.1.2	P14550	-	38113	 CHEBI:27975	D-glyceraldehyde	3.4	560	170000	7.0	25	Tissue: placenta	Homo sapiens 	1537826	Sabio-Rk
Aldo-keto reductase family 1 	Aldo-keto reductase family 1 member A1	EC:1.1.1.2	P14550	-	38113	 CHEBI:27975	D-glyceraldehyde	1.5	3.0	-	7.0	25	-	Homo sapiens 	16919	Brenda 
Aldo-keto reductase family 1 	Aldo-keto reductase family 1 member A1	EC:1.1.1.2	P14550	-	38113	 CHEBI:27975	D-glyceraldehyde	1.7	-	-	7.0	25	-	Homo sapiens 	8916913	Brenda 
Aldo-keto reductase family 1 	Aldo-keto reductase family 1 member A1	EC:1.1.1.2	P14550	-	38113	 CHEBI:27975	D-glyceraldehyde	2.94	-	-	7.0	37	-	Homo sapiens 	6753936	Sabio-Rk
Ketohexokinase	Ketohexokinase	EC:2.7.1.3	P50053 	-	18146	CHEBI:28757	D-Fructose	0.86	-	-	7.5	37	-	Homo sapiens 	2996495	Sabio-Rk
Ketohexokinase	Ketohexokinase	EC:2.7.1.3	P50053 	-	18146	CHEBI:28757	D-Fructose	7	6.9	-	7	25	A- wild type 	Homo sapiens 	12941785	Brenda 
Ketohexokinase	Ketohexokinase	EC:2.7.1.3	P50053 	-	18146	CHEBI:28757	D-Fructose	0.8	7.6	-	7	25	C- wild type 	Homo sapiens 	12941785	Brenda 
Ketohexokinase	Ketohexokinase	EC:2.7.1.3	P50053 	-	18146	CHEBI:28757	D-Fructose	0.83	-	-	7.4	37	-	Rattus norvegicus	2992452	Brenda 
GLYCTK	Glycerate kinase	EC:2.7.1.31	Q8IVS8	-	23517	CHEBI:16659	(R)-glycerate	15	-	-	7.1	30	Patient with deficiency 	Homo sapiens 	2537226	Sabio-Rk
Phosphoglycerate mutase 1	Phosphoglycerate mutase 1	EC:5.4.2.11	P18669	-	15903	CHEBI:58272	3-phosphoglycerate	0.22	-	-	7.6	25	-	Homo sapiens 	3251	Brenda 
Phosphoglycerate mutase 1	Phosphoglycerate mutase 1	EC:5.4.2.11	P18669	-	15903	CHEBI:58272	3-phosphoglycerate	0.56	530	-	-	-	-	Saccharomyces cerevisiae	10369755	Brenda 
Enolase	Alpha-enolase	EC:4.2.1.11	P06733	-	10165	CHEBI:58289	2-phosphoglycerate	0.199	410	-	6.8	-	Brenda: 701578	Homo sapiens 		Brenda 
Enolase	Alpha-enolase	EC:4.2.1.11	P06733	-	10166	CHEBI:58702	phosphoenolpyruvate	0.58	48.5	-	6.8	-	Brenda: 701578	Homo sapiens 		Brenda 
Pyruvate kinase 	Pyruvate kinase PKLR	EC:2.7.1.40	P30613 	-	18159	CHEBI:15361	pyruvate	0.4	-	-	7.3	37	Tissue: liver, dephosphorylated 	Homo sapiens 	6250830	Sabio-Rk
Pyruvate kinase 	Pyruvate kinase PKLR	EC:2.7.1.40	P30613 	-	18159	CHEBI:15361	pyruvate	0.85	-	-	7.3	37	Tissue: liver, phosphorylated 	Homo sapiens 	6250830	Sabio-Rk
Pyruvate kinase 	Pyruvate kinase PKLR	EC:2.7.1.40	P30613 	-	18159	CHEBI:15361	pyruvate	0.24	-	-	-	30	-	Homo sapiens 	23270483	Brenda 
Pyruvate carboxylase	Pyruvate carboxylase	EC:6.4.1.1 	P11498	-	20845	CHEBI:15361	pyruvate	0.22	-	-	7.8	37	-	Homo sapiens 	10600533	Brenda 
