Enzyme PW	Approved enzyme name	E.C. number	Substrate	Uniprot	Ensembl	Rhea ID	CHEBI ID	Km [mM]	Kcat/Km	pH	Temperature	Additional conditions	Organism	PMID	Database
CYP8B1	5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase	1.14.14.139	7alpha-hydroxycholest-4-en-3-one	O02766	ENSG00000180432	46752	17899	0,027	/	6,7-7	/	/	Oryctolagus cuniculus	659116	BRENDA
CYP7A1	cholesterol 7alpha-monooxygenase	1.14.14.23	cholesterol	P22680	ENSG00000167910	21813	16113	/	/	7,2	37	/	Homo sapien	736605	BRENDA
CYP7B1	25/26-hydroxycholesterol 7alpha-hydroxylase	1.14.14.29	3beta-hydroxy-5-cholestenoic acid	O75881	ENSG00000172817Ê	R-HSA-191972	81014	/	/	/	/	/	Homo sapien	/	BRENDA
CYP27A1	cholestanetriol 26-monooxygenase	1.14.15.15	cholesterol	Q02318	ENSG00000135929	46401	16113	/	/	7,4	30	/	Homo sapien	671957, 702407, 735739	BRENDA
			27-hydroxycholesterol	Q02318	ENSG00000135929	46093	17703	/	/	7,4	30	/	Homo sapien	671957, 702407, 735740	BRENDA
			5beta-cholestane-3alpha, 7alpha, 26-triol	Q02318	ENSG00000135929	R-HSA-193497	28540	/	/	7,4	30	/	Homo sapien	671957, 702407, 735741	BRENDA
			5beta-cholestane-3alpha, 7alpha-diol	Q02318	ENSG00000135929	R-HSA-193393	28047	/	/	7,4	30	/	Homo sapien	671957, 702407, 735742	BRENDA
			5beta-cholestane-3alpha, 7alpha, 27-triol	Q02318	ENSG00000135929	R-HSA-193497	HMDB0060138	/	/	7,4	30	/	Homo sapien	671957, 702407, 735743	BRENDA
			3alpha, 7alpha-dihydroxy-5beta-cholestan-26-al	Q02318	ENSG00000135929	R-HSA-193460	27428	/	/	7,4	30	/	Homo sapien	671957, 702407, 735744	BRENDA
			5beta-cholestane-3alpha, 7alpha, 12alpha-triol	Q02318	ENSG00000135929	R-HSA-191999	16496	/	/	7,4	30	/	Homo sapien	671957, 702407, 735745	BRENDA
			5beta-cholestane-3alpha, 7alpha, 12alpha, 26-tetrol	Q02318	ENSG00000135929	R-HSA-192042	17278	/	/	7,4	30	/	Homo sapien	671957, 702407, 735746	BRENDA
